row,col,bNTI,RCbray,process,row.country,row.site,row.landuse,col.country,col.site,col.landuse,pair_scale,pair_landu
K01,M21,-6.72348831611241,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M22,-5.99053427741657,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M23,-6.46680581797995,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M24,-4.09310755378328,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M25,-7.26283032499069,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M26,-1.81188571878961,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M27,-5.22374527051209,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M28,-1.66373477255307,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M29,-3.42032389742684,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M30,-1.54099906405476,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M31,-2.4001605559898,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M32,-3.89090935309018,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M33,-3.05718678024131,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M34,-3.51950689410039,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M35,-5.1429086265302,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M36,-2.19340618575398,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,K03,-10.497129555649,-1,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K04,-10.96477606457,-0.85,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K05,-10.2384020273277,-0.5,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K06,-10.2565572404369,-0.4,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K07,-9.45846217864473,-0.95,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K08,-10.3596655282897,-0.67,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K09,-10.6184356533721,-0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K10,-10.0562085997491,-0.87,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K11,-9.99041172548084,-0.57,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K12,-8.73052851608113,-0.66,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K13,-9.45416245438864,-0.93,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K14,-9.11586386034928,-0.62,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K15,-10.0202452111035,-0.81,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K16,-10.0859552908606,-0.51,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K17,-9.10669551062096,-0.07,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K18,-10.2213359077856,-0.85,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K19,-11.1075737098748,-0.89,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K20,-9.01205407267287,-0.25,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K21,-9.55901069017223,-0.75,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K22,-9.28573121022726,0.98,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K23,-9.94724398327309,0.63,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K24,-8.46445588943731,0.89,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K25,-8.93794159071951,0.67,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K26,-8.19300065358883,-0.03,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K27,-8.39864854335756,0.82,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K28,-10.6508023133366,0.39,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K29,-10.8205160853145,0.32,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K30,-10.164020860315,0.16,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K31,-9.71125394961196,0.07,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K32,-10.1056860972941,-0.15,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K33,-9.471580163561,0.08,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K34,-8.33677801262526,0.39,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K35,-10.1218445680583,0.74,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K36,-9.46952280801622,0.2,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K37,-9.85027112954107,0.98,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K38,-10.671732464292,0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K39,-9.72085277530235,0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K40,-8.82661285747188,0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K41,-9.35848856605043,0.89,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K42,-8.76526128253364,0.67,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K43,-8.4316733507493,0.97,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K44,-10.8287627406256,0.7,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K45,-9.98419078333247,0.9,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K02,K46,-4.65991615125918,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K47,-6.53277308775103,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K48,-5.03713573295828,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K49,-5.49396009792555,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K50,-5.62152293605092,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K51,-5.89242628085362,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K52,-9.65613233257844,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K53,-10.2499570246572,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,K54,-9.7758579992158,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K02,M01,-9.1533970904815,0.98,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M02,-8.81638300305946,0.97,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M03,-7.26771845449111,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M04,-7.80237152694576,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M05,-7.26237779470035,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M06,-8.55620390884645,0.93,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M07,-8.80682149487962,0.98,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M08,-6.59438493348762,0.98,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M09,-7.72138011549951,0.97,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K02,M10,-4.11963416015633,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M11,-6.52594063349993,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M12,-5.29351750070243,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M13,-5.31290873348709,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M14,-2.82220952928999,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M15,-6.23081927164356,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M16,-7.84279103560892,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M17,-4.11378250591907,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M18,-5.67130988023192,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K02,M19,-9.24139406784047,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M20,-9.28411363970232,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M21,-8.2466025297879,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M22,-7.23675552951324,0.99,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M23,-7.90632114104297,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M24,-5.83957485742259,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M25,-9.47421062326926,0.98,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M26,-3.08574646845826,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M27,-6.50154043181266,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K02,M28,-2.85308371721865,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M29,-6.92893022958292,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M30,-3.30446859810456,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M31,-4.17413422224599,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M32,-6.83898697348039,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M33,-5.75220638895642,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M34,-5.27568430003868,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M35,-7.40326590409153,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,M36,-4.26962639301107,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K03,K04,-11.4340829597963,-0.96,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K05,-10.0146268997727,-0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K06,-9.21175662014045,-0.98,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K07,-9.65719062360227,-1,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K08,-9.70536654577293,-0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K09,-11.1453449730333,-1,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K03,K10,-9.74554786941252,-0.65,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K11,-9.18816479697115,0.12,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K12,-8.74387264714473,-0.26,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K13,-8.06052023424649,-0.39,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K14,-8.34017838505814,0.27,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K15,-8.89585373216091,0.41,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K16,-9.2759066454525,-0.05,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K17,-8.5469706767387,0.61,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K18,-9.16861748851883,-0.22,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K03,K19,-9.15132104615109,-0.52,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K20,-8.62757200015782,-0.11,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K21,-8.60835198699924,-0.58,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K22,-7.95604032755045,0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K23,-8.90994089572336,0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K24,-7.81142727520915,0.65,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K25,-7.9213462763945,0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K26,-7.26202926421815,0.76,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K27,-7.55834438498741,0.98,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K03,K28,-8.70649980004625,0.87,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K29,-8.75447719786723,0.92,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K30,-8.17884868890534,0.53,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K31,-8.51310887132299,0.77,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K32,-8.47284450436072,0.37,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K33,-8.37948709936609,0.68,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K34,-6.96941293174028,0.24,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K35,-8.43297501583135,0.73,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K36,-8.5757354360605,0.4,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K03,K37,-8.63394160458783,0.98,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K38,-8.72796571137159,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K39,-8.22328801569957,0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K40,-7.09582185296497,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K41,-7.76825973865746,0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K42,-6.67081832394732,0.88,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K43,-6.84685564098402,0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K44,-8.63081441816757,0.47,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
K03,K45,-8.07345900179524,0.92,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Natural,across_site_within_country,Natural
